participant_id,random_id,trial_index,trial_number,time_elapsed,rt,stimulus,object_id,angle,same_different,response,task,correct_response,correct,is_right,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,response_10,response_11,response_12,response_13,response_14,response_15,response_16,age,gender,education,handedness,vision,technical_difficulties,knowledge_check
giraffe,p2mpwwhb0pg,87,28,176477,1671,stimuli/16_0_R.jpg,16,0,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,90,29,179624,1640,stimuli/43_0_R.jpg,43,0,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,93,30,183808,2677,stimuli/18_100_R.jpg,18,100,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,96,31,187364,2046,stimuli/24_150.jpg,24,150,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,99,32,189801,929,stimuli/24_0.jpg,24,0,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,102,33,192312,1003,stimuli/2_0.jpg,2,0,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,105,34,199771,5950,stimuli/48_100.jpg,48,100,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,108,35,204191,2911,stimuli/11_100_R.jpg,11,100,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,111,36,207752,2052,stimuli/30_50.jpg,30,50,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,114,37,212191,2930,stimuli/8_150_R.jpg,8,150,different,f,response,j,FALSE,0,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
